;maxO3;T3;T9;T12;T15;Ne9;Ne12;Ne15;Vx9;Vx12;Vx15;maxO3v;vent;Humidit̩;pluie
0;87.0;15.0;15.6;18.5;;4.0;4.0;8.0;0.6946;-1.7101;-0.6946;84.0;Nord;;Sec
1;82.0;;;;;5.0;5.0;7.0;-4.3301;-4.0;-3.0;87.0;Nord;humide;Sec
2;92.0;;15.3;17.6;19.5;2.0;;;2.9544;;0.5209;82.0;Est;humide;
3;114.0;87.0;16.2;19.7;;1.0;1.0;0.0;;0.3473;-0.1736;92.0;Nord;humide;Sec
4;94.0;;;20.5;20.4;;;;-0.5;-2.9544;-4.3301;114.0;;humide;Sec
5;80.0;;17.7;19.8;18.3;6.0;;7.0;-5.6382;-5.0;-6.0;94.0;;humide;Pluie
6;79.0;;16.8;15.6;14.9;7.0;8.0;;-4.3301;-1.8794;-3.7588;80.0;Ouest;humide;Sec
7;79.0;;14.9;17.5;18.9;5.0;5.0;;0.0;-1.0419;-1.3892;99.0;Nord;humide;Sec
8;101.0;;16.1;19.6;21.4;2.0;;4.0;-0.766;-1.0261;-2.2981;79.0;Nord;humide;Sec
9;106.0;;18.3;;22.9;5.0;;;1.2856;-2.2981;-3.9392;101.0;Ouest;humide;Sec
10;101.0;;17.3;19.3;20.2;7.0;7.0;3.0;-1.5;-1.5;-0.8682;106.0;Nord;humide;
11;90.0;;17.6;20.3;17.4;;6.0;8.0;;-1.0419;-0.6946;101.0;Sud;humide;Sec
12;72.0;;;;;7.0;5.0;6.0;-0.8682;-2.7362;-6.8944;90.0;Sud;;Sec
13;70.0;;17.1;18.2;18.0;;7.0;;;-7.8785;-5.1962;72.0;Ouest;;Pluie
14;83.0;;15.4;;16.6;8.0;7.0;;-4.3301;-2.0521;-3.0;70.0;;;Sec
15;88.0;;;19.1;;6.0;5.0;4.0;0.5209;-2.9544;-1.0261;83.0;Ouest;;Sec
16;;;21.0;24.6;26.9;;;1.0;-0.342;;-0.684;121.0;Ouest;;Sec
17;;;;;;;;;0.0;0.3473;-2.5712;;Nord;humide;Sec
18;121.0;;19.7;24.2;26.9;2.0;1.0;0.0;;;2.0;81.0;Est;humide;Sec
19;146.0;;23.6;28.6;28.4;;;;1.0;-1.9284;-1.2155;121.0;Sud;humide;Sec
20;121.0;;20.4;25.2;27.7;1.0;0.0;0.0;;-0.5209;1.0261;146.0;;humide;Sec
21;146.0;;;;;;0.0;0.0;2.9544;6.5778;;121.0;Est;humide;Sec
23;108.0;;24.0;23.5;;4.0;4.0;0.0;-2.5712;-3.8567;-4.6985;146.0;Sud;humide;Sec
24;83.0;;19.7;22.9;24.8;;;;-2.5981;;;;Ouest;humide;Sec
25;;;;;;;;;-5.6382;-3.8302;-4.5963;83.0;Ouest;humide;Pluie
26;81.0;650.0;;;;3.0;4.0;4.0;-1.9284;-2.5712;-4.3301;57.0;Sud;humide;Sec
27;67.0;650.0;;23.4;23.7;;;;-1.5321;-3.0642;-0.8682;81.0;Ouest;humide;Sec
28;70.0;650.0;;;;5.0;2.0;1.0;0.684;0.0;1.3681;67.0;Nord;humide;Sec
29;106.0;650.0;;;;;0.0;1.0;2.8191;3.9392;3.4641;70.0;Est;humide;Sec
30;139.0;650.0;;30.1;31.9;;1.0;4.0;1.8794;2.0;1.3681;106.0;Sud;humide;Sec
31;79.0;650.0;;;;;;;0.6946;-0.866;-1.0261;139.0;Ouest;humide;Sec
32;;650.0;16.8;18.2;22.0;8.0;8.0;6.0;0.0;0.0;1.2856;79.0;Sud;humide;Pluie
33;;650.0;20.8;;;;3.0;4.0;0.0;1.7101;;93.0;Nord;humide;Sec
34;113.0;650.0;;18.2;22.7;;;;-3.7588;-3.9392;-4.6985;97.0;Ouest;humide;Pluie
35;72.0;650.0;;21.2;23.9;7.0;;4.0;-2.5981;-3.9392;-3.7588;113.0;Ouest;humide;Pluie
36;88.0;650.0;19.2;22.0;;;;;-1.9696;-3.0642;-4.0;72.0;Ouest;humide;Sec
37;77.0;;19.4;20.7;22.5;7.0;8.0;;;-5.6382;-9.0;88.0;Ouest;humide;Sec
38;71.0;;19.2;21.0;22.4;6.0;4.0;6.0;-7.8785;-6.8937;-6.8937;77.0;Ouest;humide;Sec
39;56.0;;13.8;;18.5;8.0;8.0;6.0;1.5;-3.8302;-2.0521;71.0;Ouest;humide;Pluie
42;45.0;;;14.5;15.2;8.0;;8.0;0.684;4.0;;;Est;humide;Pluie
43;67.0;;15.6;18.6;;5.0;;5.0;-3.2139;;;45.0;Ouest;humide;Pluie
44;;;16.9;19.1;;5.0;;6.0;-2.2981;-3.7588;0.0;67.0;Ouest;humide;Pluie
45;84.0;;17.4;20.4;;3.0;;6.0;0.0;;-2.5981;67.0;Sud;humide;Sec
46;63.0;;;20.5;20.6;8.0;6.0;6.0;2.0;-5.3623;-6.1284;84.0;Ouest;humide;Pluie
47;;;;15.6;;;8.0;;;-3.8302;-4.3301;63.0;Ouest;humide;Pluie
48;92.0;;16.7;19.1;19.3;7.0;6.0;4.0;-2.0521;-4.4995;-2.7362;69.0;Nord;humide;Sec
49;88.0;;;20.3;;;;;;-3.4641;;92.0;Ouest;humide;Pluie
50;66.0;;18.0;;;8.0;6.0;5.0;-3.0;-3.5;;88.0;Sud;humide;Sec
51;72.0;;18.6;21.9;23.6;4.0;7.0;6.0;;-1.9696;;66.0;Ouest;humide;Sec
52;81.0;;18.8;22.5;23.9;6.0;3.0;2.0;0.5209;-1.0;-2.0;;Nord;humide;Sec
53;;;19.0;22.5;24.1;;;;;-1.0261;0.5209;81.0;Nord;humide;Sec
54;149.0;;19.9;26.9;29.0;3.0;4.0;;;-0.9397;-0.6428;83.0;Ouest;humide;Sec
55;153.0;0.0;;;;1.0;;4.0;0.9397;1.5;;149.0;Nord;humide;Sec
56;159.0;0.0;24.0;28.3;26.5;2.0;;7.0;-0.342;1.2856;-2.0;;Nord;humide;Sec
57;149.0;0.0;23.3;27.6;28.8;4.0;;3.0;0.866;-1.5321;-0.1736;159.0;Ouest;humide;Sec
58;160.0;0.0;;;;;;;1.5321;;;149.0;Sud;humide;Sec
59;156.0;0.0;24.9;30.5;32.2;0.0;1.0;4.0;-0.5;-1.8794;-1.2856;160.0;Ouest;humide;Sec
60;84.0;0.0;;26.3;27.8;;;2.0;-1.3681;;0.0;156.0;Nord;humide;Sec
61;126.0;0.0;25.3;29.5;31.2;;4.0;4.0;3.0;3.7588;;84.0;Est;humide;Sec
62;116.0;0.0;21.3;23.8;22.1;7.0;7.0;8.0;0.0;-2.3941;-1.3892;126.0;Sud;humide;Pluie
63;77.0;0.0;20.0;18.2;23.6;5.0;7.0;6.0;-3.4641;-2.5981;-3.7588;116.0;Ouest;humide;Pluie
64;63.0;0.0;18.7;20.6;20.3;6.0;;7.0;-5.0;-4.924;-5.6382;;Ouest;humide;Pluie
65;;;18.6;18.7;17.8;8.0;8.0;8.0;-4.6985;-2.5;-0.8682;63.0;Sud;humide;Pluie
66;65.0;;19.2;23.0;22.7;8.0;7.0;7.0;-3.8302;-4.924;-5.6382;54.0;Ouest;humide;Sec
67;72.0;;19.9;;20.4;7.0;7.0;8.0;-3.0;-4.5963;;65.0;Ouest;humide;Pluie
68;60.0;;18.7;21.4;21.7;7.0;7.0;7.0;-5.6382;-6.0622;-6.8937;72.0;Ouest;humide;Pluie
69;70.0;;18.4;17.1;;3.0;6.0;3.0;-5.9088;-3.2139;-4.4995;60.0;Nord;humide;Pluie
70;77.0;;;;;4.0;5.0;;-1.9284;-1.0261;0.5209;70.0;Nord;humide;Sec
71;98.0;;;;;1.0;1.0;0.0;;-1.5321;-1.0;;Ouest;humide;Pluie
72;111.0;;;;;1.0;5.0;2.0;-1.0261;-3.0;-2.2981;98.0;Ouest;humide;Sec
73;75.0;;;;;8.0;7.0;1.0;-0.866;0.0;0.0;;Nord;humide;Sec
74;116.0;;23.5;29.8;31.7;1.0;3.0;5.0;1.8794;1.3681;0.6946;75.0;Sud;humide;Sec
75;109.0;;20.8;23.7;26.6;8.0;5.0;4.0;-1.0261;-1.7101;-3.2139;116.0;Sud;humide;Sec
76;67.0;;18.8;;18.9;;;;;-5.3623;-2.5;86.0;Ouest;humide;Pluie
77;76.0;;;;24.0;;5.0;5.0;-3.0642;-2.2981;;67.0;Ouest;humide;Pluie
78;113.0;;20.6;24.8;27.0;;;;1.3681;0.8682;-2.2981;76.0;Sud;humide;Sec
79;117.0;;21.6;26.9;28.6;6.0;;4.0;1.5321;1.9284;1.9284;113.0;Sud;humide;Pluie
80;131.0;;;28.4;30.1;5.0;3.0;3.0;0.1736;-1.9696;-1.9284;117.0;Ouest;humide;Sec
81;166.0;;19.8;27.2;30.8;4.0;0.0;1.0;0.6428;-0.866;0.684;131.0;Ouest;humide;Sec
82;159.0;;25.0;33.5;35.5;1.0;;1.0;1.0;0.6946;-1.7101;166.0;Sud;humide;Sec
83;;;20.1;22.9;27.6;8.0;8.0;6.0;1.2856;-1.7321;-0.684;;Ouest;humide;Sec
84;114.0;;;;;7.0;4.0;5.0;3.0642;2.8191;1.3681;100.0;Est;humide;Sec
85;;;21.0;24.4;;1.0;6.0;3.0;4.0;4.0;3.7588;114.0;Est;humide;Sec
86;;;16.9;17.8;20.6;;;7.0;-2.0;-0.5209;1.8794;112.0;Nord;humide;Pluie
87;76.0;;;18.6;18.7;7.0;7.0;7.0;-3.4641;-4.0;-1.7321;101.0;Ouest;humide;Sec
88;59.0;;16.5;20.3;20.3;5.0;7.0;6.0;-4.3301;-5.3623;;76.0;Ouest;humide;Pluie
89;78.0;;17.7;20.2;21.5;;;;;0.5209;0.0;59.0;Nord;humide;Pluie
90;76.0;;17.3;22.7;24.6;4.0;;6.0;-2.9544;-2.9544;-2.0;;Ouest;humide;Pluie
91;55.0;;15.3;16.8;19.2;8.0;7.0;5.0;-1.8794;;-2.3941;76.0;Ouest;humide;Pluie
92;71.0;;15.9;19.2;19.5;7.0;5.0;3.0;;;-1.3892;55.0;Nord;humide;Pluie
93;;;16.2;18.9;19.3;2.0;5.0;6.0;-1.3681;-0.8682;;71.0;Nord;humide;Pluie
94;59.0;;;;;7.0;7.0;7.0;;-1.9284;-1.7101;66.0;Nord;humide;Pluie
95;;;;;;6.0;5.0;;-1.5;-3.4641;-3.0642;59.0;Ouest;humide;Pluie
96;63.0;;17.3;19.8;19.4;;;;-4.5963;-6.0622;-4.3301;68.0;Ouest;humide;Sec
97;;;14.2;22.2;;5.0;;6.0;-0.866;-5.0;;62.0;Ouest;humide;Sec
98;74.0;;15.8;18.7;19.1;;7.0;7.0;-4.5963;-6.8937;;78.0;Ouest;humide;Pluie
99;71.0;;15.2;17.9;18.6;;;;-1.0419;-1.3681;;74.0;Nord;humide;Pluie
100;69.0;;17.1;17.7;17.5;6.0;7.0;8.0;-5.1962;-2.7362;-1.0419;71.0;Nord;humide;Pluie
101;71.0;;15.4;;16.6;4.0;5.0;5.0;-3.8302;0.0;1.3892;69.0;Nord;humide;Sec
102;60.0;;;;;4.0;5.0;4.0;0.0;3.2139;0.0;71.0;Nord;humide;Pluie
103;42.0;;;14.3;14.9;8.0;7.0;7.0;-2.5;-3.2139;-2.5;60.0;Nord;humide;Pluie
104;65.0;;14.8;;15.9;7.0;;7.0;;-6.0622;-5.1962;42.0;Ouest;humide;Pluie
105;71.0;;15.5;18.0;17.4;7.0;7.0;6.0;-3.9392;-3.0642;0.0;65.0;Ouest;humide;Sec
106;96.0;;11.3;;20.2;3.0;3.0;3.0;-0.1736;3.7588;3.8302;71.0;Est;humide;Pluie
107;98.0;;15.2;19.7;20.3;2.0;2.0;2.0;4.0;5.0;;96.0;Est;humide;Sec
108;92.0;;;17.6;18.2;1.0;4.0;6.0;5.1962;5.1423;;98.0;Nord;humide;Sec
109;76.0;;13.3;17.7;17.7;;;;-0.9397;-0.766;-0.5;;Ouest;humide;Pluie
110;;;13.3;;17.8;3.0;5.0;;0.0;-1.0;-1.2856;76.0;Sud;humide;Sec
111;77.0;;16.2;20.8;;;;;-0.6946;-2.0;;71.0;Sud;humide;Pluie
112;99.0;;;;;;;;1.5;0.8682;0.8682;;Sud;humide;Sec
113;83.0;;;;;;5.0;3.0;-4.0;-3.7588;-4.0;99.0;Ouest;humide;Pluie
114;70.0;;15.7;18.6;20.7;7.0;;7.0;;-1.0419;-4.0;83.0;Sud;humide;Sec
